autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
CG Boost,Blender Sculpting Tutorial: Full Advanced Creature Creation Workflow,https://www.youtube.com/watch?v=tQfFlzHJJ88,3D Modeling & Sculpting (3D Modeling & Sculpting),931257,2021-08-10,53:12,3192,53.67,-88.16,45.13,,
SmartyRBX,The ULTIMATE Blender Modeling Guide for Noobs! (Make Assets For Games!),https://www.youtube.com/watch?v=W337AL7n3dc,3D Modeling & Sculpting (3D Modeling & Sculpting),916157,2025-08-09,34:20,2060,19.5,-109.41,43.21,,
3D Printer Academy Tutorials,Learn Blender for 3D Printing - Complete Quick and Easy Guide (Beginner),https://www.youtube.com/watch?v=rN-HMVTB7nk,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",907108,2023-08-10,19:18,1158,92.57,56.93,10.11,,
Jacadamia,"learning Blender is easy, actually",https://www.youtube.com/watch?v=q6nh5sktCnI,Beginner Guides (Beginner Guides),886424,2025-08-09,26:00,1560,5.46,44.72,-8.72,,
IanHubert,Animate Ducks in Blender - Lazy Tutorials,https://www.youtube.com/watch?v=tLhPhscC4F4,"Lighting & Environment (Lighting & Environment, 3D Animation & Motion)",867855,2020-08-10,01:00,60,69.47,-34.25,-38.01,,
3DGreenhorn,Blender 3D Beginner Tutorial: Mushrooms in Bottle,https://www.youtube.com/watch?v=kbiMXiUz9cc,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",839761,2022-08-10,16:26,986,95.85,42.47,1.43,,
Blender Guru,Beginner Blender 4.0 Tutorial - Part 9: Layout,https://www.youtube.com/watch?v=iv9p3x85Ty0,Beginner Guides (Beginner Guides),826190,2024-08-09,25:51,1551,30.44,52.94,0.51,,
Jamie Dunbar,Blender 4.0 - Texture Painting quick start guide,https://www.youtube.com/watch?v=iwWoXMWzC_c,"Beginner Guides (Beginner Guides, Shading, Texturing & UVs)",784026,2024-08-09,05:31,331,63.13,48.38,72.69,,
ProductionCrate,How to Rig and Animate in BLENDER!,https://www.youtube.com/watch?v=1khSuB6sER0,"Character Rigging (Character Rigging, 3D Animation & Motion)",783711,2023-08-10,10:40,640,-57.54,-32.54,-0.76,,
Grant Abbitt (Gabbitt),Sculpting in Blender: A Complete Beginner's Guide,https://www.youtube.com/watch?v=9N87-yRR5aE,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",762655,2023-08-10,33:17,1997,97.52,50.34,8.59,,
CG Boost,Sculpting in Blender for Beginners (Full Course/Tutorial) #b3d,https://www.youtube.com/watch?v=KURuPAVJ6hM,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",733553,2024-08-09,03:39:54,13194,103.2,41.07,17.82,,
CG Boost,6 Blender Hard-Surface Modeling Tricks I Wish I Knew Earlier,https://www.youtube.com/watch?v=Ml2t8uxPAQU,3D Modeling & Sculpting (3D Modeling & Sculpting),719489,2024-08-09,09:31,571,46.36,-116.94,37.37,,
Poly Flo,Rig and Animate Character in 10 Minutes with Blender 3.1,https://www.youtube.com/watch?v=4z7G4TyKE9g,"Beginner Guides (Beginner Guides, Character Rigging, 3D Animation & Motion)",715264,2022-08-10,13:03,783,-42.74,-15.97,-4.12,,
Marble+,8 Minutes of Satisfying Physics in Blender,https://www.youtube.com/watch?v=7GGgyFEOv3c,Physics & Simulation (Physics & Simulation),706272,2025-08-09,08:34,514,-55.12,9.51,-96.37,,
Kevin Stratvert,Blender Tutorial for Beginners,https://www.youtube.com/watch?v=Ci3Has4L5W4,Beginner Guides (Beginner Guides),701626,2025-08-09,33:06,1986,26.51,52.1,6.73,,
CG Fast Track,Blender Beginner Tutorial - Part 2: Sword,https://www.youtube.com/watch?v=xr1lgLAragg,Beginner Guides (Beginner Guides),696609,2024-08-09,02:00:34,7234,38.47,57.36,5.0,,
Brandon 3D,Learn the BASICS of Material Shading in BLENDER (Part 1),https://www.youtube.com/watch?v=Wg244y2f9Fw,"Beginner Guides (Beginner Guides, Shading, Texturing & UVs)",694827,2022-08-10,29:05,1745,49.2,39.25,82.7,,
Brad's Art School,The World's Easiest Blender Tutorial for Beginners,https://www.youtube.com/watch?v=nESaz92SJ0w,Lighting & Environment (Lighting & Environment),684157,2025-08-09,29:34,1774,80.03,-36.3,-48.39,,
SpeedChar,How to start sculpting in Blender with a tablet,https://www.youtube.com/watch?v=irWAjPQyYzg,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",670539,2022-08-10,01:08:27,4107,94.36,43.97,13.6,,
Reality Fakers,Blender Image to 3D Model - Beginner Tutorial,https://www.youtube.com/watch?v=bwK7uk-A1y4,Beginner Guides (Beginner Guides),663417,2024-08-09,21:41,1301,43.2,69.53,-0.53,,
Joey Carlino,Getting started - Blender for complete beginners,https://www.youtube.com/watch?v=uOmYInaX-wE,Beginner Guides (Beginner Guides),636183,2023-08-10,01:04:18,3858,11.19,64.85,22.02,,
Quick Tech Tips,Blender 3.4 - Instantly Set Up PBR Materials,https://www.youtube.com/watch?v=GdfyTXHBsyE,"Shading, Texturing & UVs (Shading, Texturing & UVs)",623789,2023-08-10,00:19,19,56.31,39.98,105.74,,
CrossMind Studio,Blender Day 4 - Shading/Texturing/UV - Introduction Series for Beginners,https://www.youtube.com/watch?v=qsXlL1WXEQA,"Beginner Guides (Beginner Guides, Shading, Texturing & UVs)",619457,2020-08-10,01:18:35,4715,60.6,37.58,84.2,,
Kaizen,The Power of LIGHTING in Blender!,https://www.youtube.com/watch?v=ElMM3u2MO5k,Lighting & Environment (Lighting & Environment),603126,2023-08-10,10:03,603,71.18,-29.35,-47.11,,
Blender Guru,How to use Eevee - Full Blender Course,https://www.youtube.com/watch?v=-gW6vk_OuNQ,Cycles & EEVEE Rendering (Cycles & EEVEE Rendering),598594,2025-08-09,01:16:54,4614,106.73,-3.44,-88.86,,
Ryan King Art,Sculpting for Complete Beginners! (Blender Tutorial),https://www.youtube.com/watch?v=Lxem4yMs5Dg,3D Modeling & Sculpting (3D Modeling & Sculpting),587643,2025-08-09,54:08,3248,43.18,-97.8,46.51,,
Envato Tuts+,Blender for Beginners,https://www.youtube.com/watch?v=fiX0sO2ZYZ0,"Beginner Guides (Beginner Guides, 3D Animation & Motion)",574549,2025-08-09,03:43:27,13407,-34.32,9.85,-13.37,,
Imphenzia,Rig a Low Poly Character in Blender 2.9x,https://www.youtube.com/watch?v=XkiWBSSuxLw,Character Rigging (Character Rigging),573745,2021-08-10,21:03,1263,-58.86,-45.24,6.69,,
Joey Carlino,Rigging for beginners - Blender tutorial,https://www.youtube.com/watch?v=m-Obo_nC3SM,"3D Modeling & Sculpting (3D Modeling & Sculpting, Character Rigging)",552175,2024-08-09,59:26,3566,45.29,-78.34,29.86,,
Farrukh 3D,3d Sculpting Tutorial New,https://www.youtube.com/watch?v=HEA-XUfawOI,"3D Modeling & Sculpting (3D Modeling & Sculpting, 3D Animation & Motion)",550227,2023-08-10,29:00,1740,27.26,-72.06,40.84,,
The Game Dev Cave,EASY and QUICK Character Rigging in Blender - Blender Basics Tutorial,https://www.youtube.com/watch?v=vzJ7454X46g,"Beginner Guides (Beginner Guides, Character Rigging, 3D Animation & Motion)",545334,2022-08-10,06:50,410,-39.54,-20.63,-6.17,,
Grant Abbitt (Gabbitt),Blender Makes Sculpting Easy: Block to Beast in 1 Hour,https://www.youtube.com/watch?v=AsygBRaRnUA,3D Modeling & Sculpting (3D Modeling & Sculpting),542854,2024-08-09,04:53,293,35.66,-107.91,49.93,,
Ryan King Art,Part 1 - Blender 2.9 Beginner Tutorial (Navigation & Shortcuts),https://www.youtube.com/watch?v=9NT_1BvV2yw,Beginner Guides (Beginner Guides),542004,2021-08-10,24:19,1459,30.44,52.94,0.51,,
3D Printer Academy Tutorials,How to 3D Model Using Blender - Easy Beginner Guide + Tips and Tricks,https://www.youtube.com/watch?v=8_0RptMbhe0,Beginner Guides (Beginner Guides),538846,2023-08-10,29:09,1749,40.12,81.09,0.76,,
Levi Magony,This Blender Shader is the Secret to Magical 3D Art,https://www.youtube.com/watch?v=mQPFjzAgGQo,Beginner Guides (Beginner Guides),537402,2025-08-09,24:09,1449,22.12,71.85,-16.4,,
in2vert,Blender Tutorial for Beginners - Creature Sculpting Part 1,https://www.youtube.com/watch?v=lkP-xHYEXrI,3D Modeling & Sculpting (3D Modeling & Sculpting),533289,2023-08-10,09:15,555,46.37,-90.68,46.42,,
