autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Envato Tuts+,How to Design a Logo in Illustrator | Graphic Design Basics,https://www.youtube.com/watch?v=6jQxI06lM4k,"Beginner Guides (Beginner Guides, Logo Design & Branding)",393098,2025-08-09,-2.63,11.08,-44.86
Naoufel nouar,Adobe Illustrator 3D Text Effect Tutorial,https://www.youtube.com/watch?v=tFGsRzhBlFQ,"Typography & Text Effects (Typography & Text Effects, 3D & Inflation Effects)",391873,2023-08-10,-74.11,6.6,18.19
Spoon Graphics,Retro Striped Text Effect Illustrator Tutorial (+ FREE Textures!),https://www.youtube.com/watch?v=4wI5hisETek,Typography & Text Effects (Typography & Text Effects),379658,2019-08-11,-35.34,46.74,-23.34
P A N T E R,How To Create Realistic 3D Text In Illustrator,https://www.youtube.com/watch?v=0gw8RdpYrFY,"Typography & Text Effects (Typography & Text Effects, 3D & Inflation Effects)",377037,2023-08-10,-52.66,1.06,22.06
Dansky,9 Hacks for Adobe Illustrator That Changed My Life,https://www.youtube.com/watch?v=4s_dWk62Kwo,Beginner Guides (Beginner Guides),360587,2024-08-09,62.18,55.88,-46.02
Dansky,Illustrator Basics in 3 Minutes,https://www.youtube.com/watch?v=M5jOg2iDPeM,Beginner Guides (Beginner Guides),358547,2018-08-11,73.41,30.28,-22.92
Spoon Graphics,Vintage Logo Tutorial for Adobe Illustrator,https://www.youtube.com/watch?v=5B1XTfwxT14,Logo Design & Branding (Logo Design & Branding),355928,2016-08-11,13.17,-14.07,-92.24
Andy Tells Things,Packaging Design in Illustrator + Realistic 3D Mockups,https://www.youtube.com/watch?v=XNuywdUDc6c,"3D & Inflation Effects (3D & Inflation Effects, Packaging & Label Design)",346874,2023-08-10,-79.65,-60.19,-0.68
Satori Graphics,Fastest Way To Make This SMOOTH GRADIENT DESIGN In Illustrator,https://www.youtube.com/watch?v=aASA2n9HPf0,Beginner Guides (Beginner Guides),338862,2020-08-10,115.24,12.59,-15.66
Spoon Graphics,How to Draw a Retro Mascot Character Design in Illustrator,https://www.youtube.com/watch?v=KTh925hn6Yk,Vector Illustration & Drawing (Vector Illustration & Drawing),338000,2019-08-11,50.08,-37.01,84.47
Spoon Graphics,Retro Text Effects with Illustrator's Blend Tool (+ FREE Textures!),https://www.youtube.com/watch?v=UNQ5E_DMf3Y,Typography & Text Effects (Typography & Text Effects),334050,2021-08-10,-47.54,54.03,-31.04
Spoon Graphics,Neon Sign Effect Illustrator & Photoshop Tutorial,https://www.youtube.com/watch?v=GkMlHgtU_dk,Beginner Guides (Beginner Guides),332109,2018-08-11,96.61,67.3,30.19
tutvid,Masking in Adobe Illustrator! Basics Tutorial,https://www.youtube.com/watch?v=tzkeIGrPC2s,Beginner Guides (Beginner Guides),331920,2007-08-14,68.77,37.47,-12.4
Dansky,Learn How to Draw Using the Pen Tool in Adobe Illustrator | Dansky,https://www.youtube.com/watch?v=h7Yiy7sYHsY,Pen Tool & Precise Paths (Pen Tool & Precise Paths),325166,2015-08-12,34.15,-97.59,46.01
Dansky,9 Legendary Hacks Pro Designers Use in Adobe Illustrator,https://www.youtube.com/watch?v=Wh_ywgixozo,Beginner Guides (Beginner Guides),310287,2024-08-09,65.27,72.91,-30.79
