autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
MadMapper The Mapping Software,Control MadMapper — MADTutorial Controls,https://www.youtube.com/watch?v=sZbRTVMJjsI,Beginner Guides (Beginner Guides),22680,2017-08-11,74.45,26.77,-59.62
Halucinated Studios,"Intro to Projection Mapping, Step by Step Guide for Beginners, Tutorial by Steve Lucin",https://www.youtube.com/watch?v=5L5oIqg27z8,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",20906,2025-08-09,96.68,-25.39,66.88
MadMapper The Mapping Software,Primitives And Stack — MADTutorial Basics,https://www.youtube.com/watch?v=EiQOsh1YEJU,Beginner Guides (Beginner Guides),20342,2017-08-11,65.27,33.38,-17.15
Programming for People,"Spout for Unity (Texture sharing for other programs) Resolume, Touchdesigner, VVVV",https://www.youtube.com/watch?v=iIwcqgAPVWI,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",20182,2019-08-11,-51.5,54.95,58.11
academicVids,Tutorial introductorio MadMapper,https://www.youtube.com/watch?v=9swaBxmrJAs,Beginner Guides (Beginner Guides),20022,2020-08-10,36.87,-17.88,-57.1
MadMapper The Mapping Software,MiniMad Synchronization Over Network — MadTutorial Basics,https://www.youtube.com/watch?v=pbYm6hKS6zk,Beginner Guides (Beginner Guides),18914,2018-08-11,48.1,22.68,-4.58
MadMapper The Mapping Software,Custom Light Fixture — MADTutorial Advanced,https://www.youtube.com/watch?v=QgxyNQSMmns,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",18686,2018-08-11,-65.16,-5.55,-7.72
Nanlux Global,DMX Control Tutorial with Madmapper | NANLITE & NANLUX,https://www.youtube.com/watch?v=PEcbcI4aeUA,DMX & ArtNet Lighting Output (DMX & ArtNet Lighting Output),18340,2022-08-10,-74.54,-19.57,-102.98
LUMOplay,How to make an interactive wall - a complete guide,https://www.youtube.com/watch?v=qKe4ULQKJ8U,Beginner Guides (Beginner Guides),17797,2025-09-13,116.31,-35.75,-41.45
Zunayed Sabbir Ahmed,Resolume vs MadMapper vs HeavyM – Which Projection Mapping Tool Wins?,https://www.youtube.com/watch?v=HNmtwxkLvE0,"3D Projection Mapping & Calibration (3D Projection Mapping & Calibration, Procedural Shaders & ISF Materials)",16903,2025-08-09,-20.49,25.18,1.03
MadMapper The Mapping Software,MiniMad Mapping and Image Mode — MadTutorial Basics,https://www.youtube.com/watch?v=8I1oqNXbOMg,Beginner Guides (Beginner Guides),16561,2018-08-11,42.03,20.63,12.94
