autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Koki Ibukuro,TouchDesigner to Spout to Python,https://www.youtube.com/watch?v=ex_ZU7PoeVU,Python Scripting & System (Python Scripting & System),997,2019-08-11,00:07,7,0.18,60.11,-53.12,,
Kate Brunotts,How to Plant Dance: Beginner TouchDesigner Tutorial 🌷,https://www.youtube.com/watch?v=64laCbjaQj8,Beginner Guides (Beginner Guides),972,2026-04-11,08:25,505,78.79,-12.43,-8.92,,
paketa12,UV slices in TouchDesigner,https://www.youtube.com/watch?v=e5KOjleTEBo,Beginner Guides (Beginner Guides),969,2025-09-13,33:31,2011,76.72,38.34,6.4,,
paketa12,custom limit in TouchDesigner,https://www.youtube.com/watch?v=pIbdKE_2g-E,Point Clouds & Instancing (Point Clouds & Instancing),961,2025-09-13,20:28,1228,-108.74,-17.7,57.63,,
Ian Shelanskey,Let's Talk TouchDesigner Episode 3,https://www.youtube.com/watch?v=kzyWYljXyDw,Python Scripting & System (Python Scripting & System),958,2018-08-11,51:18,3078,-1.5,71.91,-50.08,,
Akenbak,"TouchDesigner Tutorial 12 - Parametric Equations: Trifolium (CHOP's,TOP's & Python)",https://www.youtube.com/watch?v=BEIxzroL-Hc,"Core Fundamentals (Core Fundamentals, Python Scripting & System)",950,2021-08-10,16:46,1006,-36.88,62.88,-31.07,,
Pao Olea,[TD Drop #30] Wings Effect  - TouchDesigner Tutorial,https://www.youtube.com/watch?v=ls7k41ND2UY,"Core Fundamentals (Core Fundamentals, 3D & Geometry (SOPs))",943,2026-07-19,21:36,1296,-88.49,81.23,4.35,,
Priam Givord,Orchard Point Cloud 1 - In VR - Touch Designer,https://www.youtube.com/watch?v=cdxTsFm58Bc,Point Clouds & Instancing (Point Clouds & Instancing),938,2017-08-11,00:35,35,-120.0,-29.74,57.36,,
Lake Heckaman,GLSL for POPs in TouchDesigner: Lesson 5 (GLSL Copy POP - Hairy Banana),https://www.youtube.com/watch?v=czmRqr515nw,GLSL & Shader Programming (GLSL & Shader Programming),922,2025-11-12,03:50,230,-44.38,18.64,-100.49,,
eclipsys //,echoforms [audio-reactive touchdesigner tutorial 004],https://www.youtube.com/watch?v=_ohGu_afctg,Audio Reactivity (Audio Reactivity),921,2026-07-10,14:48,888,43.32,-107.58,-50.8,,
paketa12,Normals in Touchdesigner,https://www.youtube.com/watch?v=TC5tVlDtpb4,Beginner Guides (Beginner Guides),881,2025-09-13,40:52,2452,73.89,3.59,-4.48,,
paketa12,balloons collision in TouchDesigner,https://www.youtube.com/watch?v=hk3TafkP-yk,Beginner Guides (Beginner Guides),861,2026-02-10,24:46,1486,81.99,10.2,-7.01,,
Pao Olea,[TD Drop #26] Twister Sculpting - TouchDesigner Tutorial,https://www.youtube.com/watch?v=QEvjo8kXBjA,Generative Art (Generative Art),835,2026-06-10,19:32,1172,-34.0,-67.31,-47.63,,
reflekkt,Turn ANY Object into Art with AI Projection Mapping (Free Workflow),https://www.youtube.com/watch?v=pojsBrRqKgw,"Core Fundamentals (Core Fundamentals, Generative Art, Projection Mapping)",809,2026-07-26,13:04,784,-45.58,79.2,9.39,,
Music Hackspace,"TouchDesigner Meetup - Shaders - Jul 2021 / J. Luis Pelz, L. Lessél, T. Blankensmith & P. Whidden",https://www.youtube.com/watch?v=t2NHCtMGJwQ,GLSL & Shader Programming (GLSL & Shader Programming),808,2022-08-10,01:07:22,4042,-65.79,15.99,-112.93,,
Madelaine Fischer-Bernhut,Projection Mapping in TouchDesigner Design 1,https://www.youtube.com/watch?v=JhVVAadxKa8,Projection Mapping (Projection Mapping),803,2019-08-11,00:14,14,-5.31,106.3,16.97,,
Unveil,"42 Python in Touchdesigner : ""0 to Her0"" :: Engine Based Mediaplayer #touchdesigner",https://www.youtube.com/watch?v=knTkfUkiF_Q,Python Scripting & System (Python Scripting & System),796,2025-08-09,22:24,1344,-13.94,61.04,-54.44,,
Basement Vibes,ReaRouteTD Pt2: 2BASICS 2BOOGALOO (TouchDesigner Tutorial),https://www.youtube.com/watch?v=vETkv4QVDrI,"Beginner Guides (Beginner Guides, Audio Reactivity)",760,2022-08-10,20:55,1255,47.26,-57.58,-25.13,,
Lake Heckaman,GLSL for POPs in TouchDesigner: Lesson 3 (Interference Patterns + Multiple Inputs),https://www.youtube.com/watch?v=Fbgye7-j-Wg,"Generative Art (Generative Art, GLSL & Shader Programming)",750,2025-11-12,05:42,342,-32.9,-47.85,-47.06,,
Markus Heckmann,Building a MoviePlayer - TouchDesigner 202 Workshop Berlin 15th of December 2018,https://www.youtube.com/watch?v=tnLynv_At-0,Python Scripting & System (Python Scripting & System),706,2019-08-11,01:50:19,6619,-3.39,67.52,-43.15,,
Music Hackspace,"TouchDesigner Meetup - Audio Visualisation - Apr 2021 / I. MacLachlan, J-F. Renaud, B. Tschepe",https://www.youtube.com/watch?v=R2Qys-AMrm0,Audio Reactivity (Audio Reactivity),703,2021-08-10,01:14:36,4476,51.36,-109.52,-66.87,,
paketa12,texture anything in Touchdesigner,https://www.youtube.com/watch?v=yaW5XC4HGdE,Beginner Guides (Beginner Guides),701,2026-02-10,13:13,793,73.77,24.14,-25.93,,
Kousei Ikeda,TouchDesigner : Basic SOP Instancing,https://www.youtube.com/watch?v=XPB7RgnPMss,"Core Fundamentals (Core Fundamentals, 3D & Geometry (SOPs), Point Clouds & Instancing)",677,2021-08-10,01:47,107,-75.97,48.55,15.05,,
paketa12,Ramps in TouchDesigner,https://www.youtube.com/watch?v=vdje-kWmhjk,Beginner Guides (Beginner Guides),641,2026-02-10,14:30,870,73.04,13.06,-8.78,,
paketa12,magnifying glass in Touchdesigner,https://www.youtube.com/watch?v=kYOnhq--534,Beginner Guides (Beginner Guides),630,2025-09-13,18:28,1108,82.98,5.79,-12.26,,
Pixorial,"TouchDesigner Beginner Tutorial #4:  COMP Operators - You MUST become familiar with this ""GCL"" setup",https://www.youtube.com/watch?v=WINRxoq65KI,"Beginner Guides (Beginner Guides, Core Fundamentals, 3D & Geometry (SOPs))",610,2023-08-10,08:33,513,28.27,-33.58,58.1,,
Lake Heckaman,GLSL for POPs in TouchDesigner: Lesson 6 (GLSL Advanced POP - Voronoi Fracture pt. 1),https://www.youtube.com/watch?v=-e26RWFLFPc,GLSL & Shader Programming (GLSL & Shader Programming),585,2025-12-12,07:52,472,-49.81,21.63,-96.55,,
paketa12,custom shapes packing in TouchDesigner,https://www.youtube.com/watch?v=I-b_tm1n1yo,Beginner Guides (Beginner Guides),578,2026-02-10,39:47,2387,100.9,33.82,-26.82,,
paketa12,flying tinsel in Touchdesigner,https://www.youtube.com/watch?v=yjZx1RvewLQ,"Core Fundamentals (Core Fundamentals, Point Clouds & Instancing)",560,2025-09-13,30:55,1855,-67.39,40.55,4.35,,
paketa12,spherical map in Touchdesigner,https://www.youtube.com/watch?v=KewW9pfw6_8,Beginner Guides (Beginner Guides),551,2025-09-13,15:22,922,48.0,24.19,-11.23,,
TheTouchLab,TouchOut - Control Your Computer with Touchdesigner,https://www.youtube.com/watch?v=1Ve9hxUQMn8,Beginner Guides (Beginner Guides),539,2024-08-09,02:31,151,79.97,27.46,-11.33,,
paketa12,a lighthouse and two boats ...in TouchDesigner,https://www.youtube.com/watch?v=vtvD9KeKNOs,Beginner Guides (Beginner Guides),499,2026-02-10,04:48,288,81.71,5.24,-5.26,,
Wingto Kwong,Tutorial 001 TouchDesigner,https://www.youtube.com/watch?v=8LMmNu2Obas,Beginner Guides (Beginner Guides),489,2020-08-10,02:56,176,54.7,4.92,-14.48,,
Anilom Vj,Making Audio Reactive GLSL Shaders in TouchDesigner,https://www.youtube.com/watch?v=KPeeei4olRk,"GLSL & Shader Programming (GLSL & Shader Programming, Audio Reactivity)",484,2026-06-10,07:15,435,-55.81,12.38,-120.0,,
paketa12,hex grid in Touchdesigner,https://www.youtube.com/watch?v=GXTIoDjMSug,Beginner Guides (Beginner Guides),480,2025-09-13,08:26,506,105.52,-3.75,-17.69,,
MechBullRodeo,Flexible audio-reactivity tool - Python beginners - Touchdesigner Tutorial,https://www.youtube.com/watch?v=gjEyvkycfcY,"Audio Reactivity (Audio Reactivity, Python Scripting & System)",477,2026-02-10,15:26,926,43.23,-95.48,-67.22,,
paketa12,UV mountains in Touchdesigner,https://www.youtube.com/watch?v=DNvrblmsP6s,Beginner Guides (Beginner Guides),475,2025-09-13,18:22,1102,67.92,31.64,5.42,,
Priam Givord,Orchard Point Cloud 2 - In VR - Touch Designer,https://www.youtube.com/watch?v=YvoW4jmlNXc,Point Clouds & Instancing (Point Clouds & Instancing),468,2017-08-11,00:42,42,-120.0,-29.74,57.36,,
Digital on Stage,Signal & Code (Part 5) - Projection Mapping Made Easy: Kantan Mapper in TouchDesigner| MMAD Festival,https://www.youtube.com/watch?v=kEKQrEWn8v0,"GLSL & Shader Programming (GLSL & Shader Programming, Projection Mapping, Python Scripting & System)",465,2025-08-09,05:20,320,-48.42,27.2,-115.85,,
HappyNES,How to use Python in Touch Designer,https://www.youtube.com/watch?v=aHdtWkL7KwA,Python Scripting & System (Python Scripting & System),463,2018-08-11,02:05,125,-8.02,70.85,-56.81,,
nkz,python(FoxDot) + TouchDesigner Test carbon,https://www.youtube.com/watch?v=hjOxabi87G8,Python Scripting & System (Python Scripting & System),463,2023-08-10,02:20,140,-0.7,58.86,-46.06,,
fxduke_108,How to Store & Switch Camera Views in TouchDesigner,https://www.youtube.com/watch?v=gRUIc6a-P7s,3D & Geometry (SOPs) (3D & Geometry (SOPs)),453,2025-11-12,02:42,162,-18.74,1.5,107.0,,
paketa12,visualizing vectors in Touchdesigner,https://www.youtube.com/watch?v=U5XT46hLpEE,Beginner Guides (Beginner Guides),449,2025-09-13,20:05,1205,85.24,19.44,1.4,,
paketa12,fireworks in Touchdesigner,https://www.youtube.com/watch?v=fH9UyzzM1sc,Beginner Guides (Beginner Guides),449,2025-09-13,29:12,1752,73.3,10.83,-15.34,,
liu jack,Create MAGIC with TouchDesigner + Kinect! 🎨✨ Interactive Wall Projection Tutorial,https://www.youtube.com/watch?v=pi-gCTNmFPM,Sensors & Tracking (Sensors & Tracking),443,2025-08-09,00:38,38,-64.74,-98.85,58.15,,
Kousei Ikeda,"TouchDesigner : Geometry Viewer, Display Flag",https://www.youtube.com/watch?v=sO5WNEFuQ4Y,3D & Geometry (SOPs) (3D & Geometry (SOPs)),437,2021-08-10,01:10,70,-18.67,3.52,106.49,,
paketa12,line segment SDF in Touchdesigner,https://www.youtube.com/watch?v=j-_e-dDGSEY,Beginner Guides (Beginner Guides),429,2025-09-13,15:52,952,95.53,-3.97,-8.44,,
paketa12,random walker in TouchDesigner,https://www.youtube.com/watch?v=5A0l5V_Bmpk,Beginner Guides (Beginner Guides),428,2025-09-13,10:39,639,75.62,10.89,-4.68,,
Ham Freeze,"Make livestreams INTERACTIVE using Heat, Python, and Touch Designer | April 21, 2022",https://www.youtube.com/watch?v=NtGn-UzgnZ4,Python Scripting & System (Python Scripting & System),422,2022-08-10,10:00,600,0.88,72.76,-59.58,,
Yi Shi,Touch Designer week4 3D geometry,https://www.youtube.com/watch?v=EDoKJ9-IBac,3D & Geometry (SOPs) (3D & Geometry (SOPs)),413,2023-08-10,00:32,32,-17.55,-5.29,104.99,,
Pixorial,"TouchDesigner Beginner Tutorial #2:  TOP operators (Super Easy, Step-by-Step)",https://www.youtube.com/watch?v=6UK3seKIjw0,"Beginner Guides (Beginner Guides, Core Fundamentals)",411,2023-08-10,28:08,1688,84.27,-22.15,41.16,,
fxduke_108,Easy GLSL UV Tricks & Texture Distortion Wizardry for Beginners in TouchDesigner,https://www.youtube.com/watch?v=5X63PDrhmWE,"Beginner Guides (Beginner Guides, GLSL & Shader Programming)",403,2025-11-12,04:26,266,-23.86,5.98,-76.44,,
NC State University Libraries YouTube Channel,Procedural Coding in Touch Designer with Ian,https://www.youtube.com/watch?v=VC7zo8T4Gl0,Core Fundamentals (Core Fundamentals),395,2023-08-10,01:37:17,5837,-71.42,54.1,-31.27,,
Bryan Chung,TouchDesigner ScriptCHOP Introduction (with Face Detection),https://www.youtube.com/watch?v=ALfLh5d3cVU,"Beginner Guides (Beginner Guides, GLSL & Shader Programming, Python Scripting & System)",394,2025-08-09,37:33,2253,-18.57,19.18,-69.52,,
paketa12,close-packing spheres in Touchdesigner,https://www.youtube.com/watch?v=RDoAOpH-bPg,Beginner Guides (Beginner Guides),387,2025-09-13,46:30,2790,105.43,21.64,-32.11,,
Hardware Haquer (Austin Stewart),TouchDesigner Intro Tutorial,https://www.youtube.com/watch?v=UXWa491odEU,Beginner Guides (Beginner Guides),370,2023-08-10,43:57,2637,53.92,-10.35,-21.79,,
paketa12,UV Picking in TouchDesigner,https://www.youtube.com/watch?v=twvLEQ7KkpI,Core Fundamentals (Core Fundamentals),365,2025-09-13,11:39,699,-75.46,50.39,-21.17,,
paketa12,conditioned feedback in TouchDesigner,https://www.youtube.com/watch?v=oZK3O2QYVWQ,"Core Fundamentals (Core Fundamentals, Generative Art)",360,2025-09-13,12:25,745,-99.27,35.86,-5.58,,
Rob Duarte,Keypresses (and a bit of Python) in TouchDesigner,https://www.youtube.com/watch?v=DOMDHzqn38c,"Core Fundamentals (Core Fundamentals, Python Scripting & System)",355,2025-10-13,17:45,1065,-36.07,54.04,-31.36,,
sssynthomo,Audio Reactive Plexus in TouchDesigner (Python + OpenCV FLANN),https://www.youtube.com/watch?v=3NlV9DcXtnI,"Core Fundamentals (Core Fundamentals, Audio Reactivity, Python Scripting & System)",355,2026-02-10,11:28,688,-38.36,47.8,-23.95,,
