autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Sebastian Lague,Coding Adventure: Solar System,https://www.youtube.com/watch?v=7axImc1sxa0,Beginner Guides (Beginner Guides),974631,2020-08-10,12:12,732,-59.25,-8.87,37.14,,
Sebastian Lague,Coding Adventure: Hydraulic Erosion,https://www.youtube.com/watch?v=eaXk97ujbPQ,Beginner Guides (Beginner Guides),968872,2019-08-11,05:18,318,-68.0,4.92,40.26,,
ButWhyLevin,I Wish I Had Known This Before I Started Unity Game Development...,https://www.youtube.com/watch?v=286SGzpUx9o,Beginner Guides (Beginner Guides),968694,2022-08-10,11:11,671,-42.09,31.63,-18.04,,
Sebastian Lague,I Ran a Chess Programming Tournament!,https://www.youtube.com/watch?v=Ne40a5LkK6A,C# Programming & Logic (C# Programming & Logic),906533,2024-08-09,01:18:42,4722,94.74,-17.65,29.04,,
Brackeys,2D PATHFINDING - Enemy AI in Unity,https://www.youtube.com/watch?v=jvtFUfJ6CP8,"C# Programming & Logic (C# Programming & Logic, 2D Physics & Movement)",873299,2019-08-11,23:13,1393,91.04,22.13,27.21,,
Brackeys,How to make an RPG in Unity - Introduction,https://www.youtube.com/watch?v=nu5nyrB9U_o,Beginner Guides (Beginner Guides),870924,2017-08-11,02:04,124,-34.59,28.12,2.26,,
Sebastian Lague,Coding Adventure: Compute Shaders,https://www.youtube.com/watch?v=9RHGLZLUuwc,Beginner Guides (Beginner Guides),857225,2019-08-11,05:25,325,-59.83,3.08,24.12,,
Brackeys,EVERY Image Effect in Unity Explained - Post Processing v2 Tutorial,https://www.youtube.com/watch?v=9tjYz6Ab0oc,URP & Lighting Setup (URP & Lighting Setup),835036,2020-08-10,13:24,804,2.89,-56.79,-66.8,,
DevBanana,1 Year Of Learning Game Development In Unity...,https://www.youtube.com/watch?v=c-aEBxGPLB0,Beginner Guides (Beginner Guides),780234,2022-08-10,07:11,431,-30.48,64.09,-40.01,,
Game Dev Guide,Making UI That Looks Good In Unity,https://www.youtube.com/watch?v=HwdweCX5aMI,"URP & Lighting Setup (URP & Lighting Setup, UI Canvas & HUD Design)",764133,2020-08-10,18:06,1086,8.43,-53.67,-81.74,,
Imphenzia,I made a full GAME in 400 HOURS - this is how - in 19 minutes!,https://www.youtube.com/watch?v=6L3Z3JI1HvE,Beginner Guides (Beginner Guides),715294,2025-08-09,19:00,1140,-67.46,21.57,2.14,,
Brackeys,DISSOLVE using Unity Shader Graph,https://www.youtube.com/watch?v=taMp1g1pBeE,Shader Graph & Shaders (Shader Graph & Shaders),712549,2018-08-11,10:33,633,35.61,-75.95,12.02,,
Code Monkey,"Learn Unity Multiplayer (FREE Complete Course, Netcode for Game Objects Unity Tutorial 2026)",https://www.youtube.com/watch?v=7glCsF9fv3s,UI Canvas & HUD Design (UI Canvas & HUD Design),680943,2023-08-10,06:20:20,22820,32.19,18.84,-65.41,,
Sebastian Lague,[Unity Tutorial] Platform | Sidescroller 01,https://www.youtube.com/watch?v=d3HEFiDFApI,Beginner Guides (Beginner Guides),677548,2013-08-12,30:11,1811,-27.48,-34.65,42.98,,
Thomas Brush,Game Development for Dummies | The Ultimate Guide,https://www.youtube.com/watch?v=eANjGomWZp4,Beginner Guides (Beginner Guides),673779,2023-08-10,12:27,747,-68.86,50.98,-23.21,,
Code Monkey,Awesome Third Person Shooter Controller! (Unity Tutorial),https://www.youtube.com/watch?v=FbM4CkqtOuA,Beginner Guides (Beginner Guides),642887,2022-08-10,36:10,2170,-46.86,-32.38,23.63,,
Brackeys,Turn-Based Combat in Unity,https://www.youtube.com/watch?v=_1pz_ohupPs,Beginner Guides (Beginner Guides),639918,2020-08-10,29:39,1779,-98.62,-34.17,-50.14,,
