autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Technology Channel,Python Full Course In Nepali,https://www.youtube.com/watch?v=Pv1dPzot4nk,Beginner Guides (Beginner Guides),136401,2025-08-09,04:24:25,15865,48.76,-35.2,-19.75,,
Programming with Mosh,What are Sets in Python? Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=t9j8lCUGZXo,Beginner Guides (Beginner Guides),125899,2019-08-11,04:30,270,41.49,15.84,31.08,,
codebasics,Python Tutorial for AI: Everything You Need in 2 Hours,https://www.youtube.com/watch?v=6GuyMZ-cSzE,Machine Learning (Machine Learning),124622,2026-07-10,02:02:52,7372,-12.91,42.57,-89.33,,
Programming with Mosh,How to Sort Lists in Python - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=3Tcq_dBhIrQ,"Beginner Guides (Beginner Guides, Control Flow & Loops)",124322,2019-08-11,06:53,413,-46.47,-10.51,-7.74,,
Simplilearn,NumPy and Pandas Tutorial | Data Analysis With Python | Python Tutorial for Beginners | Simplilearn,https://www.youtube.com/watch?v=FniLzpaSFGk,"Data Science (Data Science, Machine Learning)",120704,2022-08-10,02:14:28,8068,7.15,72.5,44.93,,
Simplilearn,Python Scripting Tutorial For Beginners | Python Tutorial | Python Programming | Simplilearn,https://www.youtube.com/watch?v=AVHqSRMxwPI,"Machine Learning (Machine Learning, Script Utilities)",119638,2019-08-11,30:44,1844,-3.37,23.33,-80.15,,
Tuts+ Code,Python from Scratch - Lesson 4: Object Oriented Programming,https://www.youtube.com/watch?v=iyXyxvs-544,OOP Programming (OOP Programming),116227,2012-08-12,54:20,3260,20.6,-52.09,76.78,,
freeCodeCamp.org,Python for Beginners with Hands-On Projects,https://www.youtube.com/watch?v=oDOw5tB3Udw,Beginner Guides (Beginner Guides),113152,2026-07-19,08:36:53,31013,38.94,-4.35,-72.0,,
Programming with Mosh,Python in 2 Minutes!,https://www.youtube.com/watch?v=vE7Cy5csYbQ,Beginner Guides (Beginner Guides),109057,2024-08-09,01:58,118,73.4,-13.61,-36.04,,
Code with Josh,Object-Oriented Programming with Python in 2024 | 7-Hour FREE Course for Beginners,https://www.youtube.com/watch?v=-YhddS9_uus,Beginner Guides (Beginner Guides),108985,2024-08-09,06:45:36,24336,55.09,-48.02,35.37,,
NeuralNine,Scikit-Learn Full Crash Course - Python Machine Learning,https://www.youtube.com/watch?v=SIEaLBXr0rk,Machine Learning (Machine Learning),107824,2025-08-09,01:33:56,5636,-14.86,60.07,-57.65,,
Indently,How To Create Your Very First API With FastAPI In Python Tutorial 2023,https://www.youtube.com/watch?v=F43rgxq4CKw,Web Backend (Web Backend),105182,2023-08-10,10:18,618,-61.09,-51.98,19.3,,
Tech With Tim,I Learned Python By Building These Projects - Tutorial for Beginners,https://www.youtube.com/watch?v=ehD6tdxmjDU,Beginner Guides (Beginner Guides),104343,2025-08-09,01:04:27,3867,53.64,-13.68,-76.83,,
Programming with Mosh,Python Practice - Interview Question - Fizz Buzz | Mosh,https://www.youtube.com/watch?v=z3-XFI_nXNM,Beginner Guides (Beginner Guides),103704,2019-08-11,06:14,374,65.32,16.66,16.28,,
Swag Professor Explain,Every Machine Machine Learning Framework Explained in 5 Minutes!,https://www.youtube.com/watch?v=NSfE0BN5DIY,Machine Learning (Machine Learning),98674,2025-10-13,05:37,337,5.41,45.21,-60.81,,
Bro Code,Learn Python Object Oriented Programming! 🚗,https://www.youtube.com/watch?v=1XE-_s4ZBT8,"Beginner Guides (Beginner Guides, OOP Programming)",97283,2024-08-09,12:17,737,12.85,-69.19,54.0,,
Daniel | Tech & Data,PyTorch vs TensorFlow in 2026 - Make the Right Choice (Different Explained),https://www.youtube.com/watch?v=iyHkg7TmHmE,Machine Learning (Machine Learning),95566,2024-08-09,09:46,586,8.15,95.13,-90.75,,
IT Career Questions,Scripting & Automation for Beginners,https://www.youtube.com/watch?v=j9MAMgyNpAU,"Web Scraping & Automation (Web Scraping & Automation, Script Utilities)",95156,2022-08-10,13:13,793,-50.36,7.87,-70.72,,
Kylie Ying,Inheritance/Polymorphism in Object Oriented Programming | Python for Beginners | Code with Kylie #10,https://www.youtube.com/watch?v=C2QfkDcQ5MU,"Beginner Guides (Beginner Guides, OOP Programming)",91071,2021-08-10,12:49,769,32.58,-70.32,61.16,,
Dave Gray,Python OOP (Object-Oriented Programming) Project for Beginners,https://www.youtube.com/watch?v=PMFd95RgIwE,OOP Programming (OOP Programming),87068,2023-08-10,30:18,1818,11.63,-62.38,89.04,,
Nicholas Renotte,NumPy for Beginners in 15 minutes | Python Crash Course,https://www.youtube.com/watch?v=uRsE5WGiKWo,"Beginner Guides (Beginner Guides, Data Science)",85582,2021-08-10,17:23,1043,-45.34,60.78,28.09,,
John Watson Rooney,Beautifulsoup vs Selenium vs Scrapy - Which Tool for Web Scraping?,https://www.youtube.com/watch?v=J82SxHP5SWY,Web Scraping & Automation (Web Scraping & Automation),85282,2021-08-10,06:53,413,-54.2,-31.0,-40.64,,
Derrick Sherrill,Combining Excel Sheets with Python - Five Minute Python Automation Scripts Tutorial,https://www.youtube.com/watch?v=4_BPNnKEMn8,Web Scraping & Automation (Web Scraping & Automation),84522,2019-08-11,04:59,299,-64.69,-45.11,-105.77,,
Derek Banas,NumPy Tutorial : Numpy Full Course,https://www.youtube.com/watch?v=8Y0qQEh7dJg,"Beginner Guides (Beginner Guides, Data Science, Machine Learning)",83204,2020-08-10,01:09:09,4149,-23.44,77.28,29.9,,
Sundeep Saradhi Kanthety,PYTHON TUTORIAL FOR BEGINNERS IN 11 HOURS (in ENGLISH) || BASIC PYTHON PROGRAMMING || DATA SCIENCE,https://www.youtube.com/watch?v=u3zj0GfLoP8,Data Science (Data Science),82224,2022-08-10,11:07:19,40039,-15.0,46.8,84.78,,
Tech With Tim,3 Python Automation Projects - For Beginners,https://www.youtube.com/watch?v=zT7niRUOs9o,Web Scraping & Automation (Web Scraping & Automation),81855,2024-08-09,41:38,2498,-30.22,-59.53,-101.01,,
ProgrammingKnowledge,Object-Oriented Programming (OOP) in Python 3 | Python Object Oriented Programming Tutorial,https://www.youtube.com/watch?v=bgATKeiNcL8,"Beginner Guides (Beginner Guides, OOP Programming)",80891,2019-08-11,02:15:59,8159,4.84,-68.4,68.3,,
Patrick Loeber,Schedule Python Scripts with GitHub Actions FOR FREE | Python Automation,https://www.youtube.com/watch?v=PaGp7Vi5gfM,Web Scraping & Automation (Web Scraping & Automation),80633,2022-08-10,12:32,752,-54.02,-30.76,-97.91,,
Corey Schafer,Python Pydantic Tutorial: Complete Data Validation Course (Used by FastAPI),https://www.youtube.com/watch?v=M81pfi64eeM,Web Backend (Web Backend),79132,2025-11-12,01:29:25,5365,-81.28,-85.14,49.75,,
