autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Peter McKinnon,How to COLOR GRADE your footage using LUTS!,https://www.youtube.com/watch?v=-fKDb4JnUmc,Beginner Guides (Beginner Guides),1057977,2017-08-11,09:45,585,-19.21,-33.77,-27.6,,
Peter McKinnon,How to EDIT FAST in Premiere Pro! (This will BLOW YOUR MIND!!),https://www.youtube.com/watch?v=cMMmWVMic1Y,Video Editing & Cutting (Video Editing & Cutting),1041573,2018-08-11,03:38,218,104.28,20.04,6.88,,
Adobe Made Simple,How To EXPORT Video In Premiere Pro,https://www.youtube.com/watch?v=tejs60S74hI,"Video Editing & Cutting (Video Editing & Cutting, Render Settings)",1013774,2023-08-10,01:12,72,35.88,46.72,-14.15,,
Vince Opra,Premiere Pro Tutorial for Beginners 2022 - Everything You NEED to KNOW! (UPDATED),https://www.youtube.com/watch?v=cxzXEakrYO4,"Beginner Guides (Beginner Guides, Video Editing & Cutting)",1002881,2022-08-10,20:49,1249,-83.71,39.79,21.05,,
Zac Watson,Adobe Premiere Pro Color Grading Tutorial,https://www.youtube.com/watch?v=1wZym4fQGig,Color Grading & Lumetri (Color Grading & Lumetri),1002650,2024-08-09,13:34,814,16.25,-87.58,-16.31,,
Camilo Castañeda,My SECRET To Smooth Speed Ramp Transitions!,https://www.youtube.com/watch?v=85bb-oveozc,"Video Editing & Cutting (Video Editing & Cutting, Transitions & Ramping)",1002137,2022-08-10,02:39,159,75.11,19.09,-67.07,,
Javier Mercedes,Best Video Export Settings Adobe Premiere Pro CC 2020 For Youtube,https://www.youtube.com/watch?v=5WAreBd9fpQ,Render Settings (Render Settings),1000107,2020-08-10,10:11,611,8.12,100.68,-11.58,,
Cinecom.net,Create an intro sequence in Premiere Pro | Cinecom.net,https://www.youtube.com/watch?v=ox9KCU4MRXo,"Beginner Guides (Beginner Guides, Video Editing & Cutting)",998005,2017-08-11,09:59,599,-52.22,6.9,57.5,,
Cinecom.net,Video Editing Skill Test: Are You (actually) Good?,https://www.youtube.com/watch?v=CBZE607Tt30,Video Editing & Cutting (Video Editing & Cutting),974334,2023-08-10,10:21,621,78.98,10.41,-14.67,,
Peter McKinnon,The BEST tool in LIGHTROOM - Draw attention to your photos!,https://www.youtube.com/watch?v=zYwtSthB_lc,Video Editing & Cutting (Video Editing & Cutting),915409,2020-08-10,04:34,274,55.89,20.37,-16.04,,
Cinecom.net,Editing Magic: Playing With SLOWMOTION (Premiere Pro tutorial),https://www.youtube.com/watch?v=A4vywwit0VM,Video Editing & Cutting (Video Editing & Cutting),852798,2022-08-10,10:14,614,54.47,36.45,22.48,,
Jamie Fenn,Best Speed Ramp Rewind Effect In 60 Seconds - Davinci Resolve,https://www.youtube.com/watch?v=Q39Z35w8m84,Transitions & Ramping (Transitions & Ramping),817444,2023-08-10,01:13,73,0.42,-21.41,-95.87,,
Tausif Khalid,Premiere Pro Tutorial for Beginners | FULL COURSE in 1 Hour,https://www.youtube.com/watch?v=u4vX5RgUX0E,Video Editing & Cutting (Video Editing & Cutting),801735,2025-08-09,48:24,2904,56.89,14.64,24.19,,
Cinecom.net,Camera THROUGH MIRROR Transition - Premiere Pro Tutorial,https://www.youtube.com/watch?v=6-TJZnzPbGE,Video Editing & Cutting (Video Editing & Cutting),762496,2018-08-11,05:50,350,87.44,-21.63,8.42,,
Justin Odisho,Adobe Premiere Pro CC Beginner Tutorial: Intro Guide to the Basics (Learn How to Edit Video),https://www.youtube.com/watch?v=V5sENw2C97s,"Beginner Guides (Beginner Guides, Video Editing & Cutting)",759298,2017-08-11,11:58,718,-40.36,12.77,42.34,,
Editing Edition,Premiere Pro for Beginners🔥| Quick 25-Minute Tutorial!,https://www.youtube.com/watch?v=W2DAXqS7G4E,Beginner Guides (Beginner Guides),752814,2024-08-09,25:59,1559,-22.28,-16.01,25.49,,
Justin Odisho,SICK Premiere Pro Speed Ramp Transitions Tutorial! (How to Whip Pan & Time Remapping Whoosh Effects),https://www.youtube.com/watch?v=-7tHJh8GGys,Transitions & Ramping (Transitions & Ramping),743281,2017-08-11,06:38,398,32.92,-21.84,-70.98,,
Aidin Robbins,11 SIMPLE Tricks for Better EDITING - Adobe Premiere Pro Tutorial,https://www.youtube.com/watch?v=gs2o5LiR5To,Video Editing & Cutting (Video Editing & Cutting),737708,2021-08-10,13:28,808,61.55,-16.53,32.04,,
Cinecom.net,FAST MOTION EFFECTS from Ariana Grande in PREMIERE PRO,https://www.youtube.com/watch?v=fX4v5rhf2CM,Video Editing & Cutting (Video Editing & Cutting),735661,2019-08-11,08:18,498,85.5,28.39,4.89,,
Premiere Gal,Multi-Camera Editing in Adobe Premiere Pro CC tutorial,https://www.youtube.com/watch?v=jxz1JR26vpc,"Video Editing & Cutting (Video Editing & Cutting, Titles & Graphics, Multicam Editing)",728150,2017-08-11,08:19,499,57.66,-41.57,49.01,,
Cinecom.net,Cinematic Film Look in Premiere Pro Tutorial | Cinecom.net,https://www.youtube.com/watch?v=pcsZ74DN0QE,Video Editing & Cutting (Video Editing & Cutting),686315,2015-08-12,09:00,540,33.06,-25.65,1.16,,
Peter McKinnon,I'm GIVING UP... Premiere Pro for DaVinci Resolve,https://www.youtube.com/watch?v=zChapSqFI8s,Video Editing & Cutting (Video Editing & Cutting),668658,2023-08-10,09:10,550,58.66,-2.18,-18.8,,
